Age,Gender,Education Level,Years of Experience,Job Role,Department,Location,Performance Rating,Skills,Company Tier,Certifications,Past Companies,Salary
35,Female,Bachelor,11,Sales Rep,Sales,Mumbai,2.0,Python,Mid-Size,None,1,2078078.57
30,Female,Master,6,Software Engineer,IT,Bangalore,1.0,Python,Startup,Basic,3,2490405.66
47,Male,Bachelor,26,Data Scientist,IT,Bangalore,5.0,Communication,Enterprise,None,2,11646341.23
23,Female,Bachelor,4,Sales Rep,Sales,Mumbai,2.0,Management,Enterprise,None,2,1318557.43
41,Male,PhD,17,Software Engineer,IT,Remote,3.0,SQL,Mid-Size,Advanced,4,7252002.55
49,Female,Master,27,HR Manager,HR,Chennai,3.0,,Mid-Size,Basic,4,8261201.61
28,Male,Master,10,HR Manager,HR,Bangalore,5.0,Communication,Startup,None,0,2808988.84
29,Female,Bachelor,11,Marketing Specialist,Marketing,Kolkata,2.0,Python,Mid-Size,Basic,4,2545564.37
56,Other,Master,32,Data Scientist,IT,Delhi,,Communication,Startup,Advanced,5,12746525.97
35,Male,Bachelor,15,HR Manager,HR,Hyderabad,1.0,Marketing,Startup,Basic,2,3248785.01
38,Other,Bachelor,14,Data Scientist,IT,Mumbai,1.0,Marketing,Enterprise,Basic,4,6662742.28
57,Male,High School,37,HR Manager,HR,Mumbai,3.0,Management,Mid-Size,Basic,0,6166916.16
25,Female,Bachelor,1,Marketing Specialist,Marketing,Hyderabad,2.0,Management,Mid-Size,None,3,445209.12
23,,Bachelor,1,Sales Rep,Sales,Chennai,2.0,SQL,Startup,Basic,5,388102.43
27,Female,Bachelor,4,Marketing Specialist,Marketing,Hyderabad,3.0,SQL,Mid-Size,None,4,1367506.75
25,Female,PhD,7,Software Engineer,IT,Bangalore,1.0,Marketing,Startup,Basic,2,3341221.54
50,Female,PhD,26,HR Manager,HR,Hyderabad,1.0,Python,Startup,None,3,7518795.45
39,Male,Master,17,Software Engineer,IT,Mumbai,5.0,Communication,Startup,Basic,2,5600378.42
47,,Bachelor,27,Software Engineer,IT,Hyderabad,4.0,SQL,Mid-Size,None,3,7851901.24
55,Female,Master,35,Data Scientist,IT,Delhi,2.0,SQL,Mid-Size,None,5,13153186.58
31,Female,Bachelor,13,HR Manager,HR,Kolkata,2.0,Python,Startup,None,2,2076844.44
57,Female,Master,36,Software Engineer,IT,Bangalore,2.0,Python,Mid-Size,Advanced,4,17978293.24
35,Female,Bachelor,11,Sales Rep,Sales,Hyderabad,4.0,Management,Startup,Advanced,4,2812370.9
52,Male,Master,33,Software Engineer,IT,Mumbai,5.0,Communication,Mid-Size,None,0,9975207.64
36,Female,Bachelor,16,Sales Rep,Sales,Remote,,Python,Enterprise,Advanced,3,3930946.06
29,Male,Master,6,Data Scientist,IT,Kolkata,1.0,SQL,Mid-Size,Basic,0,2159135.19
35,Female,PhD,12,Software Engineer,IT,Bangalore,1.0,SQL,Enterprise,Basic,1,7600581.85
44,Male,Bachelor,24,Marketing Specialist,Marketing,Mumbai,2.0,Marketing,Enterprise,None,4,6928805.19
42,Male,Bachelor,21,Data Scientist,IT,Chennai,3.0,Python,Mid-Size,Advanced,3,8038529.7
37,Male,PhD,16,Sales Rep,Sales,Delhi,2.0,Management,Mid-Size,None,5,4686214.39
39,Male,Bachelor,17,Data Scientist,IT,Chennai,3.0,Communication,Enterprise,Basic,0,6551846.01
45,Female,Master,22,Software Engineer,IT,Delhi,4.0,Management,Startup,Basic,5,7395178.43
47,Male,Bachelor,25,HR Manager,HR,Hyderabad,1.0,SQL,Startup,Basic,5,5803036.56
46,Male,Bachelor,23,HR Manager,HR,Bangalore,3.0,Management,Enterprise,Basic,5,9069414.53
50,Male,Bachelor,26,Sales Rep,Sales,Hyderabad,4.0,SQL,Mid-Size,None,0,4509854.53
36,Male,Bachelor,12,Sales Rep,Sales,Delhi,1.0,SQL,Startup,None,1,1684893.65
22,Male,Master,3,HR Manager,HR,Delhi,3.0,SQL,Mid-Size,None,0,1045662.58
46,Male,Bachelor,22,Sales Rep,Sales,Delhi,2.0,SQL,Mid-Size,None,2,3624103.42
28,Female,Bachelor,9,Data Scientist,IT,Kolkata,2.0,SQL,Mid-Size,None,4,2783654.17
30,Female,Bachelor,6,Marketing Specialist,Marketing,Mumbai,2.0,Marketing,Mid-Size,Basic,0,1392254.65
45,Female,Bachelor,27,Marketing Specialist,Marketing,Bangalore,4.0,Management,Mid-Size,Basic,0,6160656.84
22,Male,Master,0,Data Scientist,IT,Hyderabad,2.0,Marketing,Mid-Size,None,1,564813.61
29,Male,PhD,7,Marketing Specialist,Marketing,Hyderabad,5.0,Marketing,Mid-Size,None,2,2823459.51
45,Female,Bachelor,25,Software Engineer,IT,Chennai,1.0,Python,Mid-Size,None,0,5647088.31
32,Female,Master,10,Data Scientist,IT,Delhi,4.0,Python,Mid-Size,None,4,4238760.93
38,Male,Master,18,Sales Rep,Sales,Remote,2.0,Python,Mid-Size,None,4,3399719.0
29,Male,Bachelor,8,Data Scientist,IT,Delhi,1.0,Communication,Startup,Basic,0,2084740.37
56,Male,PhD,34,HR Manager,HR,Delhi,3.0,Python,Mid-Size,None,5,11136954.22
56,Male,Bachelor,35,Sales Rep,Sales,Remote,2.0,Management,Enterprise,Basic,5,7517089.71
54,Male,Bachelor,35,HR Manager,HR,Hyderabad,1.0,Marketing,Startup,None,2,6322943.17
26,Female,Master,7,Sales Rep,Sales,Chennai,5.0,Management,Startup,Basic,4,1976714.95
49,Female,Bachelor,31,Marketing Specialist,Marketing,Mumbai,3.0,Python,Mid-Size,Basic,5,7818641.82
28,,Master,4,Data Scientist,IT,Remote,5.0,,Enterprise,Advanced,4,3123123.06
30,Female,Master,8,Software Engineer,IT,Kolkata,1.0,Communication,Startup,Basic,2,2410734.62
29,Female,High School,8,Sales Rep,Sales,Bangalore,5.0,Marketing,Startup,Advanced,2,1763453.44
33,Female,Master,13,Sales Rep,Sales,Remote,1.0,Management,Startup,Basic,5,2424713.58
55,Other,Bachelor,36,HR Manager,HR,Mumbai,1.0,SQL,Mid-Size,Basic,0,7412060.36
54,Male,Bachelor,30,Marketing Specialist,Marketing,Hyderabad,5.0,Management,Startup,None,3,5700065.64
44,Male,Master,25,HR Manager,HR,Kolkata,1.0,Python,Startup,None,1,4606210.42
45,Male,PhD,25,HR Manager,HR,Kolkata,2.0,SQL,Mid-Size,None,3,7249184.97
58,Female,High School,34,Marketing Specialist,Marketing,Kolkata,1.0,Communication,Enterprise,Basic,3,6966028.28
56,Female,Bachelor,32,Software Engineer,IT,Delhi,4.0,Marketing,Mid-Size,None,4,8529158.43
43,Male,Master,22,HR Manager,HR,Bangalore,1.0,Marketing,Startup,Basic,2,6079590.95
48,Female,Master,27,HR Manager,HR,Hyderabad,4.0,Communication,Mid-Size,Advanced,4,10417758.07
56,Male,Master,34,Sales Rep,Sales,Hyderabad,1.0,Python,Enterprise,None,5,11377985.95
22,Female,Bachelor,0,Marketing Specialist,Marketing,Kolkata,1.0,Communication,Mid-Size,None,1,247198.78
56,Male,Bachelor,33,Data Scientist,IT,Hyderabad,5.0,Python,Enterprise,Advanced,5,19015515.94
58,Male,Bachelor,35,Software Engineer,IT,Bangalore,2.0,SQL,Enterprise,None,0,12065732.31
35,Male,Master,17,Software Engineer,IT,Bangalore,2.0,Communication,Startup,Basic,1,5757832.15
24,Male,Bachelor,5,Marketing Specialist,Marketing,Chennai,3.0,Python,Mid-Size,None,4,1427517.16
22,Male,Bachelor,0,Sales Rep,Sales,Remote,5.0,SQL,Startup,Basic,4,375974.08
26,Male,PhD,5,Sales Rep,Sales,Remote,5.0,Communication,Mid-Size,None,5,1691213.12
47,Female,High School,27,Marketing Specialist,Marketing,Chennai,2.0,Marketing,Startup,Basic,4,4225162.67
35,Female,PhD,14,Sales Rep,Sales,Mumbai,5.0,Communication,Startup,None,4,3885255.26
48,Male,Master,29,Software Engineer,IT,Remote,2.0,Management,Enterprise,None,3,9667453.17
30,Female,Master,7,Software Engineer,IT,Bangalore,5.0,Communication,Startup,None,0,2621477.97
36,Female,Bachelor,15,Data Scientist,IT,Bangalore,1.0,Management,Enterprise,None,3,6822318.69
36,Male,High School,18,Marketing Specialist,Marketing,Remote,2.0,SQL,Startup,Advanced,4,2616341.64
47,Male,Master,28,HR Manager,HR,Bangalore,2.0,Communication,Startup,Basic,2,7844701.83
34,Male,Master,11,HR Manager,HR,Chennai,4.0,SQL,Enterprise,None,3,4322141.75
53,Male,Master,33,Data Scientist,IT,Kolkata,5.0,SQL,Mid-Size,None,4,11782703.67
53,Female,Bachelor,30,Data Scientist,IT,Kolkata,5.0,Python,Mid-Size,None,4,8635538.24
25,Male,Master,1,Sales Rep,Sales,Hyderabad,2.0,SQL,Startup,Basic,0,532095.87
51,,Master,33,Data Scientist,IT,Kolkata,1.0,SQL,Mid-Size,Basic,5,12998882.44
58,Female,Master,39,Data Scientist,IT,Delhi,1.0,Communication,Mid-Size,None,1,12271996.26
44,Male,Master,24,HR Manager,HR,Chennai,1.0,Communication,Mid-Size,Basic,3,6901355.46
36,Female,Master,18,Sales Rep,Sales,Bangalore,5.0,Marketing,Mid-Size,Basic,3,5710610.74
50,Male,Master,27,Data Scientist,IT,Remote,4.0,Python,Enterprise,Advanced,3,13034767.31
57,Other,High School,39,Data Scientist,IT,Kolkata,2.0,SQL,Mid-Size,Advanced,4,10743891.52
34,Male,Bachelor,15,Sales Rep,Sales,Chennai,3.0,Python,Enterprise,Basic,0,3560402.56
53,,High School,31,Marketing Specialist,Marketing,Kolkata,4.0,Management,Mid-Size,Basic,4,5265681.56
28,Female,Bachelor,10,Sales Rep,Sales,Mumbai,3.0,SQL,Mid-Size,None,4,2202751.68
43,Male,Bachelor,19,HR Manager,HR,Bangalore,4.0,Python,Startup,Basic,5,5001628.55
49,Female,High School,31,Marketing Specialist,Marketing,Mumbai,1.0,Marketing,Startup,None,2,4081328.97
23,Other,Bachelor,0,Software Engineer,IT,Bangalore,5.0,Marketing,Enterprise,None,0,939987.88
27,Female,Bachelor,4,Sales Rep,Sales,Chennai,3.0,SQL,Startup,None,3,914444.98
49,Female,Master,29,HR Manager,HR,Hyderabad,4.0,Management,Startup,Basic,1,7263352.6
49,Female,PhD,26,Marketing Specialist,Marketing,Kolkata,5.0,Marketing,Startup,None,3,6285643.89
41,Male,High School,20,Sales Rep,Sales,Kolkata,3.0,Marketing,Startup,None,4,2497924.59
51,Male,PhD,32,Data Scientist,IT,Delhi,2.0,Management,Enterprise,None,0,15164026.55
32,Female,Bachelor,13,Sales Rep,Sales,Remote,4.0,Python,Enterprise,None,0,2330493.81
49,Male,Bachelor,27,Software Engineer,IT,Mumbai,2.0,Marketing,Mid-Size,None,0,6380568.9
46,Female,High School,24,Sales Rep,Sales,Kolkata,1.0,Communication,Startup,Basic,2,2779039.43
54,Female,Bachelor,35,Marketing Specialist,Marketing,Chennai,2.0,,Mid-Size,Basic,3,7593277.7
22,Male,Master,0,Marketing Specialist,Marketing,Hyderabad,2.0,Python,Mid-Size,None,2,404928.75
48,Male,Master,26,Sales Rep,Sales,Remote,4.0,Python,Enterprise,Basic,5,7198236.77
34,Female,High School,14,Marketing Specialist,Marketing,Chennai,1.0,SQL,Mid-Size,Basic,1,2356975.05
24,Male,High School,1,Data Scientist,IT,Mumbai,2.0,Communication,Startup,None,5,622630.52
27,Female,Bachelor,8,Sales Rep,Sales,Delhi,5.0,Python,Mid-Size,Basic,4,1937527.03
29,Male,Bachelor,7,Data Scientist,IT,Kolkata,3.0,Management,Enterprise,Advanced,2,3489926.67
48,Female,Bachelor,29,Data Scientist,IT,Chennai,2.0,Communication,Mid-Size,None,2,8108152.92
30,Male,Bachelor,9,HR Manager,HR,Remote,1.0,Communication,Mid-Size,None,5,1768524.93
58,Female,Master,40,Sales Rep,Sales,Bangalore,2.0,Management,Startup,Advanced,4,11400345.61
54,Male,PhD,31,Marketing Specialist,Marketing,Hyderabad,3.0,Marketing,Mid-Size,Basic,0,9692202.99
45,Female,Bachelor,26,Data Scientist,IT,Remote,1.0,Management,Mid-Size,None,4,6145526.96
36,Male,PhD,18,HR Manager,HR,Chennai,4.0,Management,Startup,None,3,5241836.2
53,Female,Bachelor,31,Sales Rep,Sales,Hyderabad,1.0,Marketing,Mid-Size,None,5,6445066.18
53,Female,Bachelor,35,Sales Rep,Sales,Kolkata,4.0,Marketing,Startup,Basic,4,5665241.77
45,Male,Bachelor,22,Software Engineer,IT,Bangalore,1.0,Marketing,Startup,None,0,5044970.99
33,Male,Master,14,Software Engineer,IT,Delhi,3.0,Marketing,Startup,None,4,4205406.0
23,Male,PhD,2,Data Scientist,IT,Remote,3.0,Marketing,Startup,Basic,2,1161635.88
24,Female,Master,0,Software Engineer,IT,Delhi,1.0,Management,Mid-Size,None,1,324675.32
58,Female,Bachelor,36,Data Scientist,IT,Bangalore,2.0,SQL,Startup,None,2,9961874.34
38,Female,Master,19,Marketing Specialist,Marketing,Hyderabad,3.0,SQL,Startup,None,1,4122744.65
23,Male,Bachelor,0,Data Scientist,IT,Kolkata,4.0,Python,Enterprise,Basic,4,827038.7
23,Male,Master,1,Software Engineer,IT,Chennai,4.0,SQL,Mid-Size,None,3,1137521.9
49,Female,Bachelor,29,Marketing Specialist,Marketing,Bangalore,5.0,SQL,Mid-Size,Basic,4,8055220.62
44,Male,Bachelor,26,Software Engineer,IT,Mumbai,4.0,Management,Mid-Size,None,0,6448285.86
58,Other,Bachelor,34,Data Scientist,IT,Hyderabad,5.0,Marketing,Mid-Size,None,4,11510296.89
53,Male,Master,30,HR Manager,HR,Delhi,1.0,Marketing,Startup,None,1,5705201.07
54,Female,High School,34,Sales Rep,Sales,Remote,1.0,Management,Enterprise,None,2,4589459.09
22,Male,Master,3,Software Engineer,IT,Bangalore,1.0,SQL,Startup,Basic,3,1453164.96
40,Male,Bachelor,19,Data Scientist,IT,Delhi,2.0,Management,Mid-Size,None,4,5730625.0
23,Female,Master,1,Marketing Specialist,Marketing,Hyderabad,2.0,Python,Startup,Basic,4,658640.67
47,Female,Master,29,Software Engineer,IT,Delhi,5.0,Marketing,Mid-Size,None,2,8941809.2
53,Other,Master,31,Software Engineer,IT,Bangalore,4.0,Communication,Mid-Size,Advanced,3,15165518.56
27,Male,Bachelor,3,Sales Rep,Sales,Hyderabad,4.0,Python,Mid-Size,Basic,5,1177519.31
53,Male,Bachelor,34,Data Scientist,IT,Mumbai,1.0,Python,Startup,Basic,4,10025401.82
25,Female,Bachelor,3,HR Manager,HR,Bangalore,3.0,Management,Mid-Size,None,4,1288521.62
32,Female,Master,14,Marketing Specialist,Marketing,Chennai,2.0,SQL,Enterprise,None,5,5196785.78
38,Male,Bachelor,19,Data Scientist,IT,Kolkata,2.0,Marketing,Enterprise,None,1,6281079.03
59,Male,Bachelor,37,Marketing Specialist,Marketing,Bangalore,1.0,Communication,Startup,Advanced,1,8230333.99
45,Male,Bachelor,24,Software Engineer,IT,Hyderabad,2.0,Python,Startup,None,0,5036915.3
26,Female,Bachelor,3,Sales Rep,Sales,Remote,1.0,Communication,Enterprise,Basic,2,871337.79
55,Male,Master,36,Sales Rep,Sales,Kolkata,5.0,SQL,Mid-Size,Basic,3,8298967.45
27,Male,High School,4,HR Manager,HR,Bangalore,4.0,SQL,Mid-Size,None,4,1262154.82
43,Male,Master,24,Sales Rep,Sales,Mumbai,3.0,Communication,Enterprise,Basic,4,8537299.25
32,Male,Bachelor,11,Software Engineer,IT,Remote,4.0,Marketing,Enterprise,Basic,0,3203929.75
37,Male,High School,14,HR Manager,HR,Mumbai,4.0,SQL,Mid-Size,Basic,4,3081442.6
54,Female,Bachelor,34,Data Scientist,IT,Chennai,5.0,Communication,Mid-Size,None,2,9801035.06
30,Male,High School,12,Sales Rep,Sales,Remote,2.0,Python,Startup,None,0,1065546.34
27,Female,Bachelor,7,HR Manager,HR,Delhi,3.0,,Mid-Size,None,2,1717196.99
37,Male,Master,15,Software Engineer,IT,Remote,2.0,Communication,Startup,Basic,0,3288852.5
50,Female,High School,29,Marketing Specialist,Marketing,Kolkata,4.0,Management,Startup,Basic,4,4187555.87
24,Female,Master,4,Marketing Specialist,Marketing,Remote,1.0,SQL,Startup,None,0,696684.98
41,Female,High School,22,Software Engineer,IT,Hyderabad,4.0,Marketing,Startup,Advanced,1,5052853.26
57,Female,Bachelor,35,Software Engineer,IT,Hyderabad,2.0,Marketing,Mid-Size,None,3,9908519.79
40,Male,Master,18,Marketing Specialist,Marketing,Delhi,4.0,Management,Mid-Size,Basic,4,5194237.83
47,Male,Bachelor,27,HR Manager,HR,Remote,1.0,Marketing,Mid-Size,Advanced,5,5935645.63
24,Female,Bachelor,4,Marketing Specialist,Marketing,Mumbai,5.0,Communication,Startup,Basic,3,1292009.13
40,Other,Bachelor,19,Software Engineer,IT,Mumbai,2.0,Management,Enterprise,Basic,4,7931672.53
41,Female,Bachelor,23,Sales Rep,Sales,Bangalore,4.0,Python,Startup,None,3,4305524.0
53,Female,Master,33,Data Scientist,IT,Chennai,2.0,SQL,Mid-Size,None,1,10885099.41
28,Female,Bachelor,4,Sales Rep,Sales,Kolkata,,SQL,Enterprise,Basic,3,1540220.6
54,Male,Master,34,Sales Rep,Sales,Chennai,4.0,SQL,Mid-Size,None,0,6595707.16
39,Male,Master,16,Software Engineer,IT,Remote,4.0,Communication,Mid-Size,None,3,4403445.94
22,Female,Bachelor,3,Marketing Specialist,Marketing,Chennai,2.0,Python,Enterprise,Basic,4,1346328.13
32,Other,PhD,8,HR Manager,HR,Bangalore,2.0,Management,Startup,None,5,3133286.03
49,Male,Bachelor,25,Sales Rep,Sales,Chennai,1.0,Management,Mid-Size,Advanced,5,6077757.18
46,,PhD,23,Marketing Specialist,Marketing,Delhi,5.0,SQL,Mid-Size,Basic,2,7238285.62
44,Male,High School,21,HR Manager,HR,Bangalore,1.0,Python,Startup,Basic,3,3875914.23
52,Female,Master,30,Sales Rep,Sales,Delhi,4.0,Python,Enterprise,Basic,5,10101478.12
51,Male,Bachelor,33,HR Manager,HR,Remote,2.0,Python,Enterprise,Basic,3,7640750.56
56,Male,Bachelor,37,Marketing Specialist,Marketing,Bangalore,4.0,Marketing,Mid-Size,Basic,5,10434076.12
28,Female,Master,7,Data Scientist,IT,Remote,4.0,Marketing,Startup,Basic,3,2418078.82
37,Male,Master,13,Marketing Specialist,Marketing,Remote,3.0,SQL,Startup,None,4,2435937.94
47,Female,High School,26,Software Engineer,IT,Chennai,3.0,Python,Mid-Size,Basic,3,6186085.56
23,Female,Bachelor,3,HR Manager,HR,Delhi,4.0,Python,Startup,Basic,4,948074.99
22,Female,Master,2,Data Scientist,IT,Remote,2.0,Management,Mid-Size,None,4,1114423.37
33,Male,Master,12,HR Manager,HR,Delhi,4.0,Management,Mid-Size,None,2,3279986.95
26,Male,PhD,6,HR Manager,HR,Delhi,3.0,SQL,Mid-Size,Basic,5,2661321.64
58,Male,Master,40,Sales Rep,Sales,Bangalore,2.0,Python,Mid-Size,None,0,9063919.96
53,,PhD,30,Software Engineer,IT,Hyderabad,4.0,SQL,Mid-Size,Advanced,4,17028557.37
30,Female,Master,10,HR Manager,HR,Chennai,5.0,Management,Startup,Advanced,5,3687697.29
56,Female,Bachelor,34,Marketing Specialist,Marketing,Remote,5.0,Management,Startup,None,1,4204263.71
40,Female,Bachelor,20,Marketing Specialist,Marketing,Delhi,4.0,Marketing,Mid-Size,Basic,3,4447170.81
37,Female,Master,18,Sales Rep,Sales,Kolkata,2.0,SQL,Mid-Size,None,1,3500708.78
24,Female,Master,6,Software Engineer,IT,Hyderabad,4.0,SQL,Mid-Size,Basic,3,3130671.47
41,Male,High School,22,Software Engineer,IT,Remote,4.0,Python,Mid-Size,None,2,3596392.67
45,Female,Bachelor,26,Marketing Specialist,Marketing,Kolkata,3.0,Python,Enterprise,Basic,4,7215765.28
54,Male,PhD,32,Data Scientist,IT,Chennai,5.0,Marketing,Startup,None,0,10697129.99
45,Female,Bachelor,27,Sales Rep,Sales,Chennai,3.0,Communication,Startup,None,4,4347845.56
32,Female,Bachelor,14,Sales Rep,Sales,Delhi,3.0,Communication,Startup,None,3,2183344.17
29,Female,Bachelor,11,Marketing Specialist,Marketing,Delhi,4.0,Communication,Mid-Size,None,0,2100578.24
57,Male,Bachelor,39,Marketing Specialist,Marketing,Remote,3.0,SQL,Mid-Size,None,4,6408277.04
59,Male,Bachelor,41,Data Scientist,IT,Bangalore,5.0,SQL,Enterprise,None,0,16078598.63
41,Male,Bachelor,19,Data Scientist,IT,Hyderabad,3.0,Management,Mid-Size,None,3,6399704.37
56,Male,High School,36,Software Engineer,IT,Remote,5.0,SQL,Enterprise,Basic,2,8180078.18
46,Male,Master,27,Sales Rep,Sales,Hyderabad,3.0,SQL,Enterprise,Basic,2,9043695.99
56,Female,Bachelor,38,Sales Rep,Sales,Delhi,5.0,SQL,Startup,Basic,4,6563146.97
46,Female,Master,22,Marketing Specialist,Marketing,Chennai,3.0,Marketing,Mid-Size,Advanced,1,6479579.33
50,Male,Master,30,Software Engineer,IT,Delhi,3.0,SQL,Mid-Size,None,3,9515875.67
39,Male,Bachelor,19,Sales Rep,Sales,Chennai,2.0,Python,Startup,None,4,3120616.39
39,Male,Master,20,Software Engineer,IT,Remote,5.0,Python,Mid-Size,None,4,5807864.99
23,Female,Bachelor,1,Software Engineer,IT,Chennai,5.0,Management,Mid-Size,Basic,2,977046.75
56,Female,Master,35,Marketing Specialist,Marketing,Delhi,5.0,Marketing,Startup,Advanced,0,7882393.12
37,Female,Bachelor,16,Software Engineer,IT,Mumbai,1.0,Python,Mid-Size,None,3,4432071.59
57,Male,Master,37,Data Scientist,IT,Hyderabad,3.0,Marketing,Mid-Size,None,0,12846071.18
54,Other,Master,31,Data Scientist,IT,Kolkata,5.0,Marketing,Startup,None,5,9847497.91
25,Female,Bachelor,2,HR Manager,HR,Chennai,1.0,Management,Mid-Size,Basic,5,824212.12
54,Male,Bachelor,35,Marketing Specialist,Marketing,Chennai,2.0,Marketing,Startup,Basic,3,6375152.44
35,Female,Master,14,HR Manager,HR,Mumbai,5.0,SQL,Mid-Size,None,1,3969008.98
42,Male,Master,22,Data Scientist,IT,Remote,5.0,Marketing,Startup,None,5,6079623.93
41,Female,Bachelor,19,HR Manager,HR,Remote,1.0,Management,Enterprise,Basic,2,4304089.23
29,Male,Master,8,Marketing Specialist,Marketing,Remote,3.0,Management,Mid-Size,Basic,1,1766331.8
28,Female,Bachelor,8,Marketing Specialist,Marketing,Kolkata,,Management,Startup,None,4,1506954.34
24,Female,Master,4,Software Engineer,IT,Bangalore,5.0,Python,Mid-Size,Basic,5,2903854.12
38,Female,Bachelor,20,Sales Rep,Sales,Mumbai,3.0,SQL,Mid-Size,None,2,3664060.63
54,Female,Master,32,Software Engineer,IT,Kolkata,2.0,Python,Mid-Size,Basic,4,11008126.65
33,Male,Bachelor,15,Marketing Specialist,Marketing,Mumbai,4.0,Communication,Mid-Size,Basic,1,3378586.68
43,Male,Bachelor,24,Data Scientist,IT,Chennai,4.0,SQL,Mid-Size,None,3,7161865.31
43,Male,High School,25,Data Scientist,IT,Hyderabad,2.0,Marketing,Startup,None,4,5737681.75
51,Male,Bachelor,27,Software Engineer,IT,Mumbai,1.0,Management,Startup,Basic,0,5872295.06
59,Female,Bachelor,41,Marketing Specialist,Marketing,Bangalore,2.0,Communication,Mid-Size,None,3,9395949.52
59,Male,Bachelor,35,Data Scientist,IT,Delhi,2.0,SQL,Mid-Size,Basic,3,10688682.67
29,Other,Master,8,Marketing Specialist,Marketing,Kolkata,1.0,Python,Startup,Basic,1,1642567.65
48,Female,High School,25,Data Scientist,IT,Mumbai,1.0,Management,Enterprise,Basic,1,7946476.82
48,Female,Bachelor,28,Marketing Specialist,Marketing,Mumbai,3.0,Python,Startup,None,2,4726285.91
55,Male,Bachelor,31,HR Manager,HR,Bangalore,3.0,SQL,Mid-Size,None,2,7358869.16
42,Female,High School,20,Marketing Specialist,Marketing,Hyderabad,1.0,SQL,Startup,Basic,0,2780962.74
